"Question","Answer","Category","Group","Percentage"
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Other (please specify)","Race","White",18
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Other (please specify)","Race","Non-White",13
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Other (please specify)","Children","Has Children",20
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Other (please specify)","Children","No Children",12
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Other (please specify)","Sexual Orientation","Straight",18
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Other (please specify)","Sexual Orientation","Gay/Bisexual",10
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","Yes","All Men",NA,60
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","Yes","Age","18-34",70
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","Yes","Age","35-64",57
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","Yes","Age","65+",53
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","Yes","Race","White",58
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","Yes","Race","Non-White",65
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","Yes","Children","Has Children",56
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","Yes","Children","No Children",66
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","Yes","Sexual Orientation","Straight",58
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","Yes","Sexual Orientation","Gay/Bisexual",81
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","No","All Men",NA,39
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","No","Age","18-34",29
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","No","Age","35-64",42
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","No","Age","65+",47
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","No","Race","White",41
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","No","Race","Non-White",35
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","No","Children","Has Children",44
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","No","Children","No Children",34
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","No","Sexual Orientation","Straight",41
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","No","Sexual Orientation","Gay/Bisexual",19
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","No answer","All Men",NA,1
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","No answer","Age","18-34",0
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","No answer","Age","35-64",1
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","No answer","Age","65+",1
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","No answer","Race","White",1
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","No answer","Race","Non-White",0
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","No answer","Children","Has Children",1
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","No answer","Children","No Children",0
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","No answer","Sexual Orientation","Straight",1
"Do you think that society puts pressure on men in a way that is unhealthy or bad for them?","No answer","Sexual Orientation","Gay/Bisexual",0
"Ask a friend for professional advice","Often","All Men",NA,15
"Ask a friend for professional advice","Often","Age","18-34",26
"Ask a friend for professional advice","Often","Age","35-64",12
"Ask a friend for professional advice","Often","Age","65+",5
"Ask a friend for professional advice","Often","Race","White",11
"Ask a friend for professional advice","Often","Race","Non-White",23
"Ask a friend for professional advice","Often","Children","Has Children",12
"Ask a friend for professional advice","Often","Children","No Children",18
"Ask a friend for professional advice","Often","Sexual Orientation","Straight",14
"Ask a friend for professional advice","Often","Sexual Orientation","Gay/Bisexual",26
"Ask a friend for professional advice","Sometimes","All Men",NA,42
"Ask a friend for professional advice","Sometimes","Age","18-34",36
"Ask a friend for professional advice","Sometimes","Age","35-64",46
"Ask a friend for professional advice","Sometimes","Age","65+",40
"Ask a friend for professional advice","Sometimes","Race","White",43
"Ask a friend for professional advice","Sometimes","Race","Non-White",39
"Ask a friend for professional advice","Sometimes","Children","Has Children",44
"Ask a friend for professional advice","Sometimes","Children","No Children",40
"Ask a friend for professional advice","Sometimes","Sexual Orientation","Straight",42
"Ask a friend for professional advice","Sometimes","Sexual Orientation","Gay/Bisexual",43
"Ask a friend for professional advice","Rarely","All Men",NA,23
"Ask a friend for professional advice","Rarely","Age","18-34",13
"Ask a friend for professional advice","Rarely","Age","35-64",25
"Ask a friend for professional advice","Rarely","Age","65+",35
"Ask a friend for professional advice","Rarely","Race","White",28
"Ask a friend for professional advice","Rarely","Race","Non-White",14
"Ask a friend for professional advice","Rarely","Children","Has Children",26
"Ask a friend for professional advice","Rarely","Children","No Children",20
"Ask a friend for professional advice","Rarely","Sexual Orientation","Straight",25
"Ask a friend for professional advice","Rarely","Sexual Orientation","Gay/Bisexual",14
"Ask a friend for professional advice","Never, but open to it","All Men",NA,12
"Ask a friend for professional advice","Never, but open to it","Age","18-34",15
"Ask a friend for professional advice","Never, but open to it","Age","35-64",11
"Ask a friend for professional advice","Never, but open to it","Age","65+",12
"Ask a friend for professional advice","Never, but open to it","Race","White",12
"Ask a friend for professional advice","Never, but open to it","Race","Non-White",12
"Ask a friend for professional advice","Never, but open to it","Children","Has Children",9
"Ask a friend for professional advice","Never, but open to it","Children","No Children",16
"Ask a friend for professional advice","Never, but open to it","Sexual Orientation","Straight",12
"Ask a friend for professional advice","Never, but open to it","Sexual Orientation","Gay/Bisexual",12
"Ask a friend for professional advice","Never, and not open to it","All Men",NA,7
"Ask a friend for professional advice","Never, and not open to it","Age","18-34",9
"Ask a friend for professional advice","Never, and not open to it","Age","35-64",5
"Ask a friend for professional advice","Never, and not open to it","Age","65+",6
"Ask a friend for professional advice","Never, and not open to it","Race","White",5
"Ask a friend for professional advice","Never, and not open to it","Race","Non-White",10
"Ask a friend for professional advice","Never, and not open to it","Children","Has Children",7
"Ask a friend for professional advice","Never, and not open to it","Children","No Children",6
"Ask a friend for professional advice","Never, and not open to it","Sexual Orientation","Straight",7
"Ask a friend for professional advice","Never, and not open to it","Sexual Orientation","Gay/Bisexual",4
"Ask a friend for professional advice","No answer","All Men",NA,1
"Ask a friend for professional advice","No answer","Age","18-34",0
"Ask a friend for professional advice","No answer","Age","35-64",1
"Ask a friend for professional advice","No answer","Age","65+",2
"Ask a friend for professional advice","No answer","Race","White",1
"Ask a friend for professional advice","No answer","Race","Non-White",1
"Ask a friend for professional advice","No answer","Children","Has Children",1
"Ask a friend for professional advice","No answer","Children","No Children",1
"Ask a friend for professional advice","No answer","Sexual Orientation","Straight",1
"Ask a friend for professional advice","No answer","Sexual Orientation","Gay/Bisexual",0
"Ask a friend for personal advice","Often","All Men",NA,14
"Ask a friend for personal advice","Often","Age","18-34",22
"Ask a friend for personal advice","Often","Age","35-64",12
"Ask a friend for personal advice","Often","Age","65+",5
"Ask a friend for personal advice","Often","Race","White",11
"Ask a friend for personal advice","Often","Race","Non-White",18
"Ask a friend for personal advice","Often","Children","Has Children",11
"Ask a friend for personal advice","Often","Children","No Children",17
"Ask a friend for personal advice","Often","Sexual Orientation","Straight",11
"Ask a friend for personal advice","Often","Sexual Orientation","Gay/Bisexual",29
"Ask a friend for personal advice","Sometimes","All Men",NA,41
"Ask a friend for personal advice","Sometimes","Age","18-34",39
"Ask a friend for personal advice","Sometimes","Age","35-64",45
"Ask a friend for personal advice","Sometimes","Age","65+",36
"Ask a friend for personal advice","Sometimes","Race","White",43
"Ask a friend for personal advice","Sometimes","Race","Non-White",39
"Ask a friend for personal advice","Sometimes","Children","Has Children",43
"Ask a friend for personal advice","Sometimes","Children","No Children",39
"Ask a friend for personal advice","Sometimes","Sexual Orientation","Straight",43
"Ask a friend for personal advice","Sometimes","Sexual Orientation","Gay/Bisexual",37
"Ask a friend for personal advice","Rarely","All Men",NA,27
"Ask a friend for personal advice","Rarely","Age","18-34",17
"Ask a friend for personal advice","Rarely","Age","35-64",28
"Ask a friend for personal advice","Rarely","Age","65+",39
"Ask a friend for personal advice","Rarely","Race","White",29
"Ask a friend for personal advice","Rarely","Race","Non-White",22
"Ask a friend for personal advice","Rarely","Children","Has Children",31
"Ask a friend for personal advice","Rarely","Children","No Children",23
"Ask a friend for personal advice","Rarely","Sexual Orientation","Straight",29
"Ask a friend for personal advice","Rarely","Sexual Orientation","Gay/Bisexual",20
"Ask a friend for personal advice","Never, but open to it","All Men",NA,10
"Ask a friend for personal advice","Never, but open to it","Age","18-34",11
"Ask a friend for personal advice","Never, but open to it","Age","35-64",9
"Ask a friend for personal advice","Never, but open to it","Age","65+",10
"Ask a friend for personal advice","Never, but open to it","Race","White",10
"Ask a friend for personal advice","Never, but open to it","Race","Non-White",9
"Ask a friend for personal advice","Never, but open to it","Children","Has Children",8
"Ask a friend for personal advice","Never, but open to it","Children","No Children",12
"Ask a friend for personal advice","Never, but open to it","Sexual Orientation","Straight",9
"Ask a friend for personal advice","Never, but open to it","Sexual Orientation","Gay/Bisexual",11
"Ask a friend for personal advice","Never, and not open to it","All Men",NA,7
"Ask a friend for personal advice","Never, and not open to it","Age","18-34",9
"Ask a friend for personal advice","Never, and not open to it","Age","35-64",5
"Ask a friend for personal advice","Never, and not open to it","Age","65+",7
"Ask a friend for personal advice","Never, and not open to it","Race","White",5
"Ask a friend for personal advice","Never, and not open to it","Race","Non-White",10
"Ask a friend for personal advice","Never, and not open to it","Children","Has Children",6
"Ask a friend for personal advice","Never, and not open to it","Children","No Children",8
"Ask a friend for personal advice","Never, and not open to it","Sexual Orientation","Straight",6
"Ask a friend for personal advice","Never, and not open to it","Sexual Orientation","Gay/Bisexual",2
"Ask a friend for personal advice","No answer","All Men",NA,1
"Ask a friend for personal advice","No answer","Age","18-34",2
"Ask a friend for personal advice","No answer","Age","35-64",1
"Ask a friend for personal advice","No answer","Age","65+",3
"Ask a friend for personal advice","No answer","Race","White",1
"Ask a friend for personal advice","No answer","Race","Non-White",1
"Ask a friend for personal advice","No answer","Children","Has Children",1
"Ask a friend for personal advice","No answer","Children","No Children",2
"Ask a friend for personal advice","No answer","Sexual Orientation","Straight",1
"Ask a friend for personal advice","No answer","Sexual Orientation","Gay/Bisexual",0
"Express physical affection to male friends, like hugging, rubbing shoulders","Often","All Men",NA,14
"Express physical affection to male friends, like hugging, rubbing shoulders","Often","Age","18-34",21
"Express physical affection to male friends, like hugging, rubbing shoulders","Often","Age","35-64",11
"Express physical affection to male friends, like hugging, rubbing shoulders","Often","Age","65+",11
"Express physical affection to male friends, like hugging, rubbing shoulders","Often","Race","White",12
"Express physical affection to male friends, like hugging, rubbing shoulders","Often","Race","Non-White",17
"Express physical affection to male friends, like hugging, rubbing shoulders","Often","Children","Has Children",11
"Express physical affection to male friends, like hugging, rubbing shoulders","Often","Children","No Children",17
"Express physical affection to male friends, like hugging, rubbing shoulders","Often","Sexual Orientation","Straight",10
"Express physical affection to male friends, like hugging, rubbing shoulders","Often","Sexual Orientation","Gay/Bisexual",44
"Express physical affection to male friends, like hugging, rubbing shoulders","Sometimes","All Men",NA,28
"Express physical affection to male friends, like hugging, rubbing shoulders","Sometimes","Age","18-34",25
"Express physical affection to male friends, like hugging, rubbing shoulders","Sometimes","Age","35-64",31
"Express physical affection to male friends, like hugging, rubbing shoulders","Sometimes","Age","65+",25
"Express physical affection to male friends, like hugging, rubbing shoulders","Sometimes","Race","White",29
"Express physical affection to male friends, like hugging, rubbing shoulders","Sometimes","Race","Non-White",27
"Express physical affection to male friends, like hugging, rubbing shoulders","Sometimes","Children","Has Children",29
"Express physical affection to male friends, like hugging, rubbing shoulders","Sometimes","Children","No Children",27
"Express physical affection to male friends, like hugging, rubbing shoulders","Sometimes","Sexual Orientation","Straight",29
"Express physical affection to male friends, like hugging, rubbing shoulders","Sometimes","Sexual Orientation","Gay/Bisexual",23
"Express physical affection to male friends, like hugging, rubbing shoulders","Rarely","All Men",NA,25
"Express physical affection to male friends, like hugging, rubbing shoulders","Rarely","Age","18-34",19
"Express physical affection to male friends, like hugging, rubbing shoulders","Rarely","Age","35-64",28
"Express physical affection to male friends, like hugging, rubbing shoulders","Rarely","Age","65+",30
"Express physical affection to male friends, like hugging, rubbing shoulders","Rarely","Race","White",27
"Express physical affection to male friends, like hugging, rubbing shoulders","Rarely","Race","Non-White",21
"Express physical affection to male friends, like hugging, rubbing shoulders","Rarely","Children","Has Children",27
"Express physical affection to male friends, like hugging, rubbing shoulders","Rarely","Children","No Children",23
"Express physical affection to male friends, like hugging, rubbing shoulders","Rarely","Sexual Orientation","Straight",27
"Express physical affection to male friends, like hugging, rubbing shoulders","Rarely","Sexual Orientation","Gay/Bisexual",20
"Express physical affection to male friends, like hugging, rubbing shoulders","Never, but open to it","All Men",NA,10
"Express physical affection to male friends, like hugging, rubbing shoulders","Never, but open to it","Age","18-34",14
"Express physical affection to male friends, like hugging, rubbing shoulders","Never, but open to it","Age","35-64",7
"Express physical affection to male friends, like hugging, rubbing shoulders","Never, but open to it","Age","65+",9
"Express physical affection to male friends, like hugging, rubbing shoulders","Never, but open to it","Race","White",9
"Express physical affection to male friends, like hugging, rubbing shoulders","Never, but open to it","Race","Non-White",11
"Express physical affection to male friends, like hugging, rubbing shoulders","Never, but open to it","Children","Has Children",8
"Express physical affection to male friends, like hugging, rubbing shoulders","Never, but open to it","Children","No Children",11
"Express physical affection to male friends, like hugging, rubbing shoulders","Never, but open to it","Sexual Orientation","Straight",9
"Express physical affection to male friends, like hugging, rubbing shoulders","Never, but open to it","Sexual Orientation","Gay/Bisexual",11
"Express physical affection to male friends, like hugging, rubbing shoulders","Never, and not open to it","All Men",NA,22
"Express physical affection to male friends, like hugging, rubbing shoulders","Never, and not open to it","Age","18-34",21
"Express physical affection to male friends, like hugging, rubbing shoulders","Never, and not open to it","Age","35-64",23
"Express physical affection to male friends, like hugging, rubbing shoulders","Never, and not open to it","Age","65+",23
"Express physical affection to male friends, like hugging, rubbing shoulders","Never, and not open to it","Race","White",22
"Express physical affection to male friends, like hugging, rubbing shoulders","Never, and not open to it","Race","Non-White",23
"Express physical affection to male friends, like hugging, rubbing shoulders","Never, and not open to it","Children","Has Children",24
"Express physical affection to male friends, like hugging, rubbing shoulders","Never, and not open to it","Children","No Children",20
"Express physical affection to male friends, like hugging, rubbing shoulders","Never, and not open to it","Sexual Orientation","Straight",25
"Express physical affection to male friends, like hugging, rubbing shoulders","Never, and not open to it","Sexual Orientation","Gay/Bisexual",2
"Express physical affection to male friends, like hugging, rubbing shoulders","No answer","All Men",NA,1
"Express physical affection to male friends, like hugging, rubbing shoulders","No answer","Age","18-34",0
"Express physical affection to male friends, like hugging, rubbing shoulders","No answer","Age","35-64",1
"Express physical affection to male friends, like hugging, rubbing shoulders","No answer","Age","65+",2
"Express physical affection to male friends, like hugging, rubbing shoulders","No answer","Race","White",1
"Express physical affection to male friends, like hugging, rubbing shoulders","No answer","Race","Non-White",1
"Express physical affection to male friends, like hugging, rubbing shoulders","No answer","Children","Has Children",1
"Express physical affection to male friends, like hugging, rubbing shoulders","No answer","Children","No Children",1
